supplier_id,supplier_name,country,supplier_city,supplier_lat,supplier_lon,region,supplier_specialty,lead_time_planned_days,reliability_score_base,capacity_band,sustainability_rating,historical_delay_risk,escalation_level,data_source,avg_delay,lead_time_variance,incidents,open_incidents,main_incident_type,open_linked_risks,open_critical_risks,supplier_risk_score,supplier_risk_band,suggested_pm_action,linked_collections,main_sku_family
SUP001,Inditex Portugal Cluster Partner 01,Portugal,Braga,41.592,-8.2879,Western Europe,formal tailoring,47,78,Medium,C,0.51,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,5.0,-4.3,4,2,E-commerce product images missing,48,8,56.9,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka Partywear Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Limited Edition Holiday 25, Oysho Training Summer 25",activewear
SUP002,Inditex Portugal Cluster Partner 02,Portugal,Braga,41.4896,-8.3473,Western Europe,woven apparel,40,79,High,C,0.43,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,3.8461538461538463,-0.3076923076923077,5,2,Supplier capacity issue,49,2,42.9,Monitor,Track next shipment gate and validate documentation,"Massimo Dutti Knitwear SS25, Oysho Training SS25, Oysho Training Summer 25, Pull&Bear Denim Drop AW25",activewear
SUP003,Inditex Italy Cluster Partner 03,Italy,Milan,45.5227,9.0642,Western Europe,kidswear,71,89,Strategic,C,0.33,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,3.8333333333333335,0.6666666666666666,3,1,Factory production backlog,60,8,46.8,Monitor,Track next shipment gate and validate documentation,"Bershka Partywear Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Knitwear AW25, Oysho Training SS25",knitwear
SUP004,Inditex Portugal Cluster Partner 04,Portugal,Porto,41.1605,-8.7264,Western Europe,formal tailoring,31,75,High,A,0.44,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,7.7272727272727275,3.6363636363636362,7,4,E-commerce product images missing,59,7,76.3,Critical Watchlist,Escalate contingency plan and confirm alternative capacity,"Bershka Denim Core Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Knitwear SS25, Massimo Dutti Tailoring Holiday 25",denim
SUP005,Inditex Spain Cluster Partner 05,Spain,Barcelona,41.3932,2.2017,Western Europe,kidswear,59,59,High,D,0.8,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,3.7142857142857144,-7.571428571428571,4,3,Fabric approval delayed,42,2,50.6,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka B Series AW25, Massimo Dutti Knitwear AW25, Pull&Bear Denim Drop AW25, Pull&Bear Graphic Edit Holiday 25",accessories
SUP006,Inditex Bangladesh Cluster Partner 06,Bangladesh,Dhaka,23.8398,90.4802,South Asia,activewear,74,66,High,B,0.73,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,7.357142857142857,1.1428571428571428,9,4,Labeling compliance issue,68,13,84.2,Critical Watchlist,Escalate contingency plan and confirm alternative capacity,"Bershka B Series AW25, Massimo Dutti Atelier Summer 25, Massimo Dutti Knitwear SS25, Massimo Dutti Limited Edition Holiday 25",kids basics
SUP007,Inditex India Cluster Partner 07,India,Tiruppur,11.0967,77.3289,South Asia,formal tailoring,85,84,Strategic,B,0.29,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,6.7,-5.9,4,3,Retail staff training incomplete,40,5,56.0,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka Partywear Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Knitwear AW25, Oysho Training SS25",outerwear
SUP008,Inditex Portugal Cluster Partner 08,Portugal,Porto,41.1741,-8.5615,Western Europe,formal tailoring,36,74,Strategic,C,0.47,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,4.5,-0.6666666666666666,3,3,Retail staff training incomplete,41,6,55.2,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka Denim Core Holiday 25, Stradivarius Denim Summer 25, Zara Home Tableware SS25, Zara Kids Back to School SS25",denim
SUP009,Inditex Morocco Cluster Partner 09,Morocco,Tangier,35.5992,-5.7057,Nearshore EMEA,denim,29,98,Low,B,0.07,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,1.9,-1.7,1,1,Port congestion,44,4,27.0,Low Risk,Keep standard launch governance cadence,"Bershka Denim Core Holiday 25, Massimo Dutti Knitwear AW25, Massimo Dutti Limited Edition Holiday 25, Pull&Bear Graphic Edit SS25",kids basics
SUP010,Inditex China Cluster Partner 10,China,Guangzhou,23.0656,113.2996,East Asia,footwear,83,69,High,A,0.52,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,7.769230769230769,2.4615384615384617,9,4,Fabric approval delayed,68,8,84.7,Critical Watchlist,Escalate contingency plan and confirm alternative capacity,"Massimo Dutti Knitwear AW25, Massimo Dutti Limited Edition Holiday 25, Oysho Ski AW25, Oysho Training Summer 25",denim
