incident_id,supplier_id,collection_id,related_po_id,issue_type,root_cause,date_opened,date_closed,delay_days,business_impact,status
INC0001,SUP005,COL029,PO0147,Rework required,Transport disruption,2026-08-03,,16,E-commerce launch delayed,Open
INC0002,SUP023,COL011,PO0370,Factory production backlog,Documentation gap,2026-08-08,,26,E-commerce launch delayed,In Review
INC0003,SUP029,COL007,PO0290,Supplier documentation incomplete,System data mismatch,2026-09-17,2026-09-29,12,Campaign timing affected,Resolved
INC0004,SUP033,COL009,PO0234,Size curve mismatch,Inspection failure,2026-11-29,,1,Campaign timing affected,Open
INC0005,SUP027,COL010,PO0058,Stock allocation dispute,Capacity planning,2026-05-12,2026-06-04,23,Partial shipment required,Resolved
INC0006,SUP027,COL010,PO0058,Fabric approval delayed,Transport disruption,2026-05-04,,11,Launch scope reduced,Open
INC0007,SUP030,COL004,PO0025,Customs hold,Inspection failure,2026-08-29,2026-09-20,12,Partial shipment required,Resolved
INC0008,SUP013,COL005,PO0341,Transport strike,Inspection failure,2026-07-02,,1,Extra freight cost,In Review
INC0009,SUP003,COL016,PO0235,Factory production backlog,Material shortage,2026-07-27,2026-08-16,7,E-commerce launch delayed,Resolved
INC0010,SUP029,COL022,PO0281,Customs hold,Late approval,2026-11-25,,9,Launch scope reduced,Open
INC0011,SUP029,COL022,PO0009,Rework required,Capacity planning,2026-11-25,2026-12-12,8,Partial shipment required,Closed
INC0012,SUP017,COL027,PO0378,Sustainability certificate missing,Transport disruption,2027-02-01,,1,Launch scope reduced,Open
INC0013,SUP019,COL001,PO0328,Supplier capacity issue,Capacity planning,2026-04-22,,24,Extra freight cost,Open
INC0014,SUP007,COL017,PO0079,Retail staff training incomplete,Inspection failure,2027-03-27,2027-04-03,22,Launch scope reduced,Resolved
INC0015,SUP020,COL029,PO0069,Retail staff training incomplete,Transport disruption,2026-07-29,,7,Launch scope reduced,In Review
INC0016,SUP020,COL029,PO0069,Rework required,Material shortage,2026-08-17,2026-09-06,11,Partial shipment required,Resolved
INC0017,SUP016,COL018,PO0117,Late sample approval,System data mismatch,2026-09-01,2026-09-22,14,Manual rework required,Resolved
INC0018,SUP023,COL012,PO0204,Transport strike,System data mismatch,2026-10-06,2026-10-29,3,Manual rework required,Closed
INC0019,SUP002,COL023,PO0167,Rework required,Material shortage,2026-12-23,2027-01-12,2,E-commerce launch delayed,Closed
INC0020,SUP010,COL006,PO0111,Labeling compliance issue,Capacity planning,2026-11-14,2026-11-27,9,Launch scope reduced,Resolved
INC0021,SUP025,COL026,PO0241,Fabric approval delayed,Late approval,2026-06-07,,15,Manual rework required,In Review
INC0022,SUP032,COL013,PO0053,Quality inspection failed,Capacity planning,2026-10-31,2026-11-21,1,Store allocation changed,Closed
