risk_id,collection_id,workstream,risk_type,risk_description,probability,impact,severity,risk_score,owner,status,mitigation_status,date_identified,target_resolution_date,collection_name,brand_id,brand_name,market,season,launch_date,launch_channel,is_open_critical,is_open
RSK0001,COL029,design,ecommerce readiness,Missing product content may block digital go-live,3,3,Medium,9,Merchandising,Monitoring,Completed,2026-08-02,2026-09-13,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,True
RSK0002,COL026,production,data/content issue,Product data may need manual cleanup before publishing,2,5,High,10,Merchandising,Mitigating,In Progress,2026-04-30,2026-05-24,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,True
RSK0003,COL016,warehouse_allocation,ecommerce readiness,Missing product content may block digital go-live,2,5,High,10,PMO,Mitigating,Completed,2026-08-11,2026-09-14,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,True
RSK0004,COL012,production,data/content issue,Product data may need manual cleanup before publishing,4,4,Critical,16,Marketing Manager,Escalated,Completed,2026-08-27,2026-09-06,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,True,True
RSK0005,COL012,production,logistics delay,Transport disruption may delay inbound arrival,2,2,Low,4,E-commerce Producer,Mitigating,Not Started,2026-08-27,2026-09-23,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,True
RSK0006,COL027,launch_governance,ecommerce readiness,Missing product content may block digital go-live,3,4,High,12,PMO,Closed,In Progress,2027-02-02,2027-02-16,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,False
RSK0007,COL006,warehouse_allocation,packaging delay,Packaging approval may miss production handoff,4,2,Medium,8,Marketing Manager,Monitoring,In Progress,2026-11-10,2026-12-11,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,True
RSK0008,COL004,design,logistics delay,Transport disruption may delay inbound arrival,3,4,High,12,Marketing Manager,Open,Overdue,2026-07-11,2026-08-05,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,True
RSK0009,COL011,sourcing,marketing delay,Campaign assets may miss launch handover,4,3,High,12,Marketing Manager,Escalated,Overdue,2026-07-09,2026-07-26,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,True
RSK0010,COL009,design,data/content issue,Product data may need manual cleanup before publishing,3,2,Medium,6,Merchandising,Mitigating,Completed,2026-12-17,2027-01-03,Massimo Dutti Knitwear AW25,BR003,Massimo Dutti,Italy,AW25,2027-01-27,Retail,False,True
RSK0011,COL021,launch_governance,supplier capacity,Supplier capacity issue may compress production window,3,3,Medium,9,Production Planner,Mitigating,Overdue,2026-07-25,2026-08-15,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,United States,SS25,2026-10-26,E-commerce,False,True
RSK0012,COL003,production,packaging delay,Packaging approval may miss production handoff,2,5,High,10,PMO,Open,In Progress,2026-10-03,2026-11-05,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,False,True
RSK0013,COL024,design,compliance issue,Labeling or sustainability document may need review,1,2,Low,2,Logistics Lead,Escalated,In Progress,2026-08-27,2026-09-17,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,True
RSK0014,COL028,launch_governance,supplier capacity,Supplier capacity issue may compress production window,2,5,High,10,E-commerce Producer,Monitoring,Completed,2026-08-03,2026-08-17,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Mexico,Holiday 25,2026-10-09,Omnichannel,False,True
RSK0015,COL027,marketing,customs issue,Customs hold risk linked to incomplete documents,3,3,Medium,9,Production Planner,Monitoring,Completed,2027-02-06,2027-02-20,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,True
RSK0016,COL030,design,production backlog,Factory backlog may push final inspection,3,5,High,15,Retail Operations,Open,In Progress,2026-08-29,2026-09-14,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,True
RSK0017,COL010,warehouse_allocation,stock allocation,Allocation dispute may reduce launch coverage,1,4,Low,4,Logistics Lead,Monitoring,Not Started,2026-03-28,2026-04-30,Zara Home Bed Linen Summer 25,BR007,Zara Home,Germany,Summer 25,2026-07-23,Marketplace,False,True
RSK0018,COL002,retail_readiness,logistics delay,Transport disruption may delay inbound arrival,3,2,Medium,6,Quality Manager,Escalated,Overdue,2026-09-30,2026-10-10,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,True
