milestone_id,collection_id,workstream,milestone_name,planned_date,actual_date,owner,status,dependency_id,delay_days,is_blocked,blocker_reason,collection_name,brand_id,brand_name,market,season,launch_date,launch_channel,days_to_launch_at_plan,is_overdue
MS00001,COL001,design,Final design sign-off,2026-02-17,2026-02-22,Retail Operations,Completed,,5,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,156,False
MS00002,COL001,design,Fabric approval,2026-03-01,,E-commerce Producer,At Risk,MS00001,6,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,144,True
MS00003,COL001,sourcing,Supplier nomination,2026-03-09,,Sourcing Lead,Blocked,MS00002,5,True,Content approval missing,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,136,True
MS00004,COL001,sourcing,Purchase order confirmed,2026-03-27,,PMO,Delayed,MS00003,5,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,118,True
MS00005,COL001,production,Size set sample approved,2026-04-08,,Sourcing Lead,At Risk,MS00004,1,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,106,True
MS00006,COL001,production,Production start,2026-04-23,,Retail Operations,At Risk,MS00005,1,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,91,True
MS00007,COL001,quality_control,Mid-production inspection,2026-05-15,,PMO,In Progress,MS00006,0,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,69,False
MS00008,COL001,quality_control,Final quality inspection,2026-06-03,,Merchandising,In Progress,MS00007,0,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,50,False
MS00009,COL001,inbound_logistics,Shipment booking confirmed,2026-06-15,,Production Planner,Blocked,MS00008,1,True,Quality rework pending,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,38,False
MS00010,COL001,inbound_logistics,Customs documentation completed,2026-06-21,,Compliance Lead,Not Started,MS00009,0,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,32,False
MS00011,COL001,warehouse_allocation,Warehouse slot confirmed,2026-06-28,,PMO,In Progress,MS00010,0,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,25,False
MS00012,COL001,ecommerce,Product copy uploaded,2026-07-07,,Retail Operations,Blocked,MS00011,8,True,Dependency not complete,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,16,False
MS00013,COL001,ecommerce,Product images approved,2026-07-07,,Sourcing Lead,Not Started,MS00012,0,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,16,False
MS00014,COL001,ecommerce,Pricing approved,2026-07-08,,Retail Operations,Not Started,MS00013,0,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,15,False
MS00015,COL001,marketing,Campaign assets delivered,2026-07-13,,Retail Operations,In Progress,MS00014,0,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,10,False
MS00016,COL001,retail_readiness,Retail briefing completed,2026-07-12,,Production Planner,In Progress,MS00015,0,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,11,False
MS00017,COL001,launch_governance,Launch readiness review,2026-07-15,,E-commerce Producer,At Risk,MS00016,5,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,8,False
MS00018,COL001,launch_governance,Go-live approval,2026-07-23,,Marketing Manager,Not Started,MS00017,0,False,,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,0,False
MS00019,COL002,design,Final design sign-off,2026-06-01,,Sourcing Lead,In Progress,,0,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,151,False
MS00020,COL002,design,Fabric approval,2026-06-08,,Compliance Lead,At Risk,MS00019,1,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,144,False
MS00021,COL002,sourcing,Supplier nomination,2026-06-17,,Sourcing Lead,At Risk,MS00020,5,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,135,False
MS00022,COL002,sourcing,Purchase order confirmed,2026-07-04,,Merchandising,In Progress,MS00021,0,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,118,False
MS00023,COL002,production,Size set sample approved,2026-07-14,,Merchandising,At Risk,MS00022,3,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,108,False
MS00024,COL002,production,Production start,2026-08-03,,PMO,Not Started,MS00023,0,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,88,False
MS00025,COL002,quality_control,Mid-production inspection,2026-08-25,,E-commerce Producer,In Progress,MS00024,0,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,66,False
MS00026,COL002,quality_control,Final quality inspection,2026-09-13,,Sourcing Lead,In Progress,MS00025,0,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,47,False
MS00027,COL002,inbound_logistics,Shipment booking confirmed,2026-09-20,,Production Planner,Not Started,MS00026,0,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,40,False
MS00028,COL002,inbound_logistics,Customs documentation completed,2026-09-30,,Marketing Manager,Not Started,MS00027,0,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,30,False
MS00029,COL002,warehouse_allocation,Warehouse slot confirmed,2026-10-11,,Quality Manager,In Progress,MS00028,0,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,19,False
MS00030,COL002,ecommerce,Product copy uploaded,2026-10-15,,Merchandising,At Risk,MS00029,1,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,15,False
MS00031,COL002,ecommerce,Product images approved,2026-10-12,,Retail Operations,In Progress,MS00030,0,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,18,False
MS00032,COL002,ecommerce,Pricing approved,2026-10-18,,Production Planner,At Risk,MS00031,14,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,12,False
MS00033,COL002,marketing,Campaign assets delivered,2026-10-14,,Marketing Manager,At Risk,MS00032,6,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,16,False
MS00034,COL002,retail_readiness,Retail briefing completed,2026-10-20,,Compliance Lead,In Progress,MS00033,0,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,10,False
MS00035,COL002,launch_governance,Launch readiness review,2026-10-25,,Sourcing Lead,In Progress,MS00034,0,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,5,False
MS00036,COL002,launch_governance,Go-live approval,2026-10-30,,Marketing Manager,At Risk,MS00035,8,False,,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,0,False
MS00037,COL003,design,Final design sign-off,2026-08-09,,Sourcing Lead,Blocked,,7,True,Warehouse slot not available,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,151,False
MS00038,COL003,design,Fabric approval,2026-08-19,,Marketing Manager,Not Started,MS00037,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,141,False
MS00039,COL003,sourcing,Supplier nomination,2026-08-25,,Merchandising,At Risk,MS00038,5,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,135,False
MS00040,COL003,sourcing,Purchase order confirmed,2026-09-04,,Merchandising,Not Started,MS00039,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,125,False
MS00041,COL003,production,Size set sample approved,2026-09-21,,E-commerce Producer,In Progress,MS00040,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,108,False
MS00042,COL003,production,Production start,2026-10-03,,Sourcing Lead,Not Started,MS00041,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,96,False
MS00043,COL003,quality_control,Mid-production inspection,2026-10-31,,Production Planner,In Progress,MS00042,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,68,False
MS00044,COL003,quality_control,Final quality inspection,2026-11-26,,Retail Operations,At Risk,MS00043,7,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,42,False
MS00045,COL003,inbound_logistics,Shipment booking confirmed,2026-11-30,,Quality Manager,In Progress,MS00044,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,38,False
MS00046,COL003,inbound_logistics,Customs documentation completed,2026-12-10,,Sourcing Lead,Not Started,MS00045,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,28,False
MS00047,COL003,warehouse_allocation,Warehouse slot confirmed,2026-12-14,,Merchandising,At Risk,MS00046,1,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,24,False
MS00048,COL003,ecommerce,Product copy uploaded,2026-12-23,,E-commerce Producer,Not Started,MS00047,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,15,False
MS00049,COL003,ecommerce,Product images approved,2026-12-21,,PMO,Not Started,MS00048,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,17,False
MS00050,COL003,ecommerce,Pricing approved,2026-12-26,,Quality Manager,In Progress,MS00049,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,12,False
MS00051,COL003,marketing,Campaign assets delivered,2026-12-28,,Production Planner,Not Started,MS00050,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,10,False
MS00052,COL003,retail_readiness,Retail briefing completed,2026-12-26,,Quality Manager,Not Started,MS00051,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,12,False
MS00053,COL003,launch_governance,Launch readiness review,2027-01-06,,Marketing Manager,Not Started,MS00052,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,1,False
MS00054,COL003,launch_governance,Go-live approval,2027-01-01,,Merchandising,In Progress,MS00053,0,False,,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,6,False
MS00055,COL004,design,Final design sign-off,2026-04-23,,Marketing Manager,Blocked,,7,True,Dependency not complete,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,156,True
MS00056,COL004,design,Fabric approval,2026-05-01,,PMO,At Risk,MS00055,6,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,148,False
