action_id,linked_risk_id,collection_id,action_type,action_description,owner,due_date,completion_date,status,expected_impact,priority,risk_id,risk_type,severity,risk_score,workstream,collection_name,brand_id,brand_name,market,season,launch_date,launch_channel,is_overdue,due_in_14_days
ACT0001,RSK0103,COL017,Confirm contingency plan,Update product content for marketing delay risk before launch gate,Sourcing Lead,2027-04-01,2027-03-27,Completed,Protect launch scope,High,RSK0103,marketing delay,Critical,16,production,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,False
ACT0002,RSK0180,COL008,Confirm contingency plan,Reallocate stock for logistics delay risk before launch gate,Production Planner,2026-07-24,2026-07-16,Completed,Lower rework risk,Low,RSK0180,logistics delay,Low,3,design,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,False,False
ACT0003,RSK0093,COL005,Confirm contingency plan,Add warehouse slot for quality failure risk before launch gate,E-commerce Producer,2026-06-26,2026-06-21,Completed,Lower rework risk,High,RSK0093,quality failure,Low,2,ecommerce,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,False
ACT0004,RSK0015,COL027,Validate compliance documents,Validate compliance documents for customs issue risk before launch gate,Production Planner,2027-02-24,,In Progress,Contain cost exposure,High,RSK0015,customs issue,Medium,9,marketing,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,False
ACT0005,RSK0107,COL029,Reallocate stock,Confirm contingency plan for logistics delay risk before launch gate,Retail Operations,2026-07-14,2026-07-16,Completed,Lower rework risk,Critical,RSK0107,logistics delay,Medium,8,sourcing,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,False
ACT0006,RSK0072,COL013,Add warehouse slot,Validate compliance documents for marketing delay risk before launch gate,Logistics Lead,2027-01-11,2027-01-04,Completed,Reduce launch delay,Medium,RSK0072,marketing delay,Medium,8,warehouse_allocation,Stradivarius Denim SS25,BR005,Stradivarius,United States,SS25,2027-02-02,Omnichannel,False,False
ACT0007,RSK0189,COL002,Switch supplier,Escalate quality review for quality failure risk before launch gate,Quality Manager,2026-09-18,,In Progress,Protect launch scope,Medium,RSK0189,quality failure,Medium,8,marketing,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,False
ACT0008,RSK0021,COL014,Validate compliance documents,Update product content for compliance issue risk before launch gate,Quality Manager,2026-10-20,,Not Started,Lower rework risk,Low,RSK0021,compliance issue,Low,2,inbound_logistics,Pull&Bear Denim Drop AW25,BR002,Pull&Bear,Italy,AW25,2026-11-09,Omnichannel,False,False
ACT0009,RSK0103,COL017,Approve partial launch,Update product content for marketing delay risk before launch gate,Sourcing Lead,2027-03-24,,In Progress,Contain cost exposure,High,RSK0103,marketing delay,Critical,16,production,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,False
ACT0010,RSK0122,COL025,Validate compliance documents,Validate compliance documents for packaging delay risk before launch gate,Merchandising,2027-01-26,,In Progress,Contain cost exposure,Medium,RSK0122,packaging delay,Medium,8,marketing,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,False,False
ACT0011,RSK0075,COL016,Approve partial launch,Update product content for production backlog risk before launch gate,Sourcing Lead,2026-09-11,,Overdue,Contain cost exposure,High,RSK0075,production backlog,High,12,sourcing,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,False
ACT0012,RSK0088,COL012,Validate compliance documents,Validate compliance documents for ecommerce readiness risk before launch gate,PMO,2026-10-08,,In Progress,Reduce launch delay,Critical,RSK0088,ecommerce readiness,Critical,16,warehouse_allocation,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,False
ACT0013,RSK0117,COL003,Update product content,Approve partial launch for compliance issue risk before launch gate,Quality Manager,2026-11-14,,Overdue,Protect launch scope,Medium,RSK0117,compliance issue,High,12,design,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,False,False
ACT0014,RSK0100,COL005,Update product content,Reallocate stock for stock allocation risk before launch gate,Production Planner,2026-05-13,2026-05-07,Completed,Reduce launch delay,Low,RSK0100,stock allocation,Medium,8,warehouse_allocation,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,False
