risk_id,collection_id,workstream,risk_type,risk_description,probability,impact,severity,risk_score,owner,status,mitigation_status,date_identified,target_resolution_date
RSK0001,COL029,design,ecommerce readiness,Missing product content may block digital go-live,3,3,Medium,9.0,Merchandising,Monitoring,Completed,2026-08-02,2026-09-13
RSK0002,COL026,production,data/content issue,Product data may need manual cleanup before publishing,2,5,High,10.0,Merchandising,Mitigating,In Progress,2026-04-30,2026-05-24
RSK0003,COL016,warehouse_allocation,ecommerce readiness,Missing product content may block digital go-live,2,5,High,10.0,PMO,Mitigating,Completed,2026-08-11,2026-09-14
RSK0004,COL012,production,data/content issue,Product data may need manual cleanup before publishing,4,4,Critical,16.0,Marketing Manager,Escalated,Completed,2026-08-27,2026-09-06
RSK0005,COL012,production,logistics delay,Transport disruption may delay inbound arrival,2,2,Low,4.0,E-commerce Producer,Mitigating,Not Started,2026-08-27,2026-09-23
RSK0006,COL027,launch_governance,ecommerce readiness,Missing product content may block digital go-live,3,4,High,12.0,PMO,Closed,In Progress,2027-02-02,2027-02-16
RSK0007,COL006,warehouse_allocation,packaging delay,Packaging approval may miss production handoff,4,2,Medium,8.0,Marketing Manager,Monitoring,In Progress,2026-11-10,2026-12-11
RSK0008,COL004,design,logistics delay,Transport disruption may delay inbound arrival,3,4,High,12.0,Marketing Manager,Open,Overdue,2026-07-11,2026-08-05
RSK0009,COL011,sourcing,marketing delay,Campaign assets may miss launch handover,4,3,High,12.0,Marketing Manager,Escalated,Overdue,2026-07-09,2026-07-26
RSK0010,COL009,design,data/content issue,Product data may need manual cleanup before publishing,3,2,Medium,6.0,Merchandising,Mitigating,Completed,2026-12-17,2027-01-03
RSK0011,COL021,launch_governance,supplier capacity,Supplier capacity issue may compress production window,3,3,Medium,9.0,Production Planner,Mitigating,Overdue,2026-07-25,2026-08-15
RSK0012,COL003,production,packaging delay,Packaging approval may miss production handoff,2,5,High,10.0,PMO,Open,In Progress,2026-10-03,2026-11-05
RSK0013,COL024,design,compliance issue,Labeling or sustainability document may need review,1,2,Low,2.0,Logistics Lead,Escalated,In Progress,2026-08-27,2026-09-17
RSK0014,COL028,launch_governance,supplier capacity,Supplier capacity issue may compress production window,2,5,High,10.0,E-commerce Producer,Monitoring,Completed,2026-08-03,2026-08-17
RSK0015,COL027,marketing,customs issue,Customs hold risk linked to incomplete documents,3,3,Medium,9.0,Production Planner,Monitoring,Completed,2027-02-06,2027-02-20
RSK0016,COL030,design,production backlog,Factory backlog may push final inspection,3,5,High,15.0,Retail Operations,Open,In Progress,2026-08-29,2026-09-14
RSK0017,COL010,warehouse_allocation,stock allocation,Allocation dispute may reduce launch coverage,1,4,Low,4.0,Logistics Lead,Monitoring,Not Started,2026-03-28,2026-04-30
RSK0018,COL002,retail_readiness,logistics delay,Transport disruption may delay inbound arrival,3,2,Medium,6.0,Quality Manager,Escalated,Overdue,2026-09-30,2026-10-10
RSK0019,COL027,ecommerce,customs issue,Customs hold risk linked to incomplete documents,3,4,High,12.0,Retail Operations,Mitigating,Overdue,2027-02-15,2027-03-01
RSK0020,COL006,quality_control,quality failure,Inspection failure could require rework before shipment,4,3,High,12.0,Retail Operations,Escalated,In Progress,2026-11-24,2026-12-30
RSK0021,COL014,inbound_logistics,compliance issue,Labeling or sustainability document may need review,1,2,Low,2.0,Quality Manager,Open,Not Started,2026-09-22,2026-10-07
RSK0022,COL002,design,customs issue,Customs hold risk linked to incomplete documents,4,2,Medium,8.0,Merchandising,Open,Overdue,2026-07-29,2026-08-23
RSK0023,COL002,inbound_logistics,packaging delay,Packaging approval may miss production handoff,4,3,High,12.0,Production Planner,Open,In Progress,2026-08-15,2026-09-07
RSK0024,COL005,warehouse_allocation,supplier capacity,Supplier capacity issue may compress production window,1,2,Low,2.0,Merchandising,Open,In Progress,2026-06-02,2026-06-15
RSK0025,COL025,design,packaging delay,Packaging approval may miss production handoff,2,2,Low,4.0,Quality Manager,Open,Completed,2027-02-03,2027-02-19
RSK0026,COL001,inbound_logistics,supplier capacity,Supplier capacity issue may compress production window,4,3,High,12.0,Retail Operations,Mitigating,In Progress,2026-06-02,2026-07-06
RSK0027,COL004,warehouse_allocation,ecommerce readiness,Missing product content may block digital go-live,1,3,Low,3.0,Production Planner,Monitoring,In Progress,2026-07-05,2026-07-19
RSK0028,COL029,ecommerce,production backlog,Factory backlog may push final inspection,2,3,Medium,6.0,PMO,Open,Not Started,2026-06-12,2026-07-09
RSK0029,COL002,design,compliance issue,Labeling or sustainability document may need review,4,3,High,12.0,Quality Manager,Mitigating,Completed,2026-08-07,2026-08-26
RSK0030,COL004,inbound_logistics,stock allocation,Allocation dispute may reduce launch coverage,4,4,Critical,16.0,Merchandising,Open,Completed,2026-08-04,2026-08-28
