collection_id,brand_id,collection_name,season,market,launch_date,launch_channel,category_mix,strategic_priority,launch_criticality,commercial_priority,revenue_exposure_band,planned_scope_skus,data_source
COL001,BR004,Bershka Partywear Holiday 25,Holiday 25,Italy,2026-07-23,Omnichannel,"denim, kids basics",Market Test,High,High,Low,396,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL002,BR006,Oysho Ski AW25,AW25,Portugal,2026-10-30,Omnichannel,"bags, footwear, knitwear, home textiles",Core,High,High,High,284,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL003,BR006,Oysho Training Summer 25,Summer 25,United States,2027-01-07,Omnichannel,"denim, kids basics, outerwear, activewear",Core,High,High,Strategic,227,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL004,BR004,Bershka Denim Core Holiday 25,Holiday 25,Spain,2026-09-26,Retail,"home textiles, outerwear, tailoring",Hero Launch,Standard,High,High,154,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL005,BR003,Massimo Dutti Atelier Summer 25,Summer 25,Mexico,2026-07-25,Omnichannel,"denim, knitwear, home textiles, formalwear",Core,Standard,High,High,251,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL006,BR005,Stradivarius Accessories Summer 25,Summer 25,United Kingdom,2027-01-08,Omnichannel,"tailoring, denim, dresses",Growth,High,High,High,329,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL007,BR004,Bershka B Series AW25,AW25,United Kingdom,2026-12-01,E-commerce,"knitwear, dresses, footwear",Growth,Board Review,Medium,Low,402,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL008,BR003,Massimo Dutti Tailoring Holiday 25,Holiday 25,Italy,2026-09-14,Omnichannel,"bags, footwear, home textiles",Hero Launch,Standard,Low,Low,225,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL009,BR003,Massimo Dutti Knitwear AW25,AW25,Italy,2027-01-27,Retail,"footwear, outerwear, activewear, tailoring",Growth,Standard,High,Medium,444,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL010,BR007,Zara Home Bed Linen Summer 25,Summer 25,Germany,2026-07-23,Marketplace,"accessories, outerwear, footwear, knitwear",Hero Launch,Standard,Medium,Low,372,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL011,BR005,Stradivarius Summer Stories Holiday 25,Holiday 25,Italy,2026-10-29,Retail,"bags, accessories, home textiles, denim",Hero Launch,High,Medium,High,120,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL012,BR007,Zara Home Kids Home SS25,SS25,Netherlands,2026-12-06,E-commerce,"dresses, home textiles",Core,Standard,Low,High,260,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL013,BR005,Stradivarius Denim SS25,SS25,United States,2027-02-02,Omnichannel,"accessories, kids basics, knitwear",Market Test,High,High,Low,173,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL014,BR002,Pull&Bear Denim Drop AW25,AW25,Italy,2026-11-09,Omnichannel,"home textiles, activewear, outerwear, knitwear",Growth,Standard,High,Strategic,270,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL015,BR002,Pull&Bear Denim Drop SS25,SS25,United Kingdom,2026-11-25,Retail,"knitwear, tailoring, accessories",Hero Launch,High,Low,Strategic,450,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
