action_id,linked_risk_id,collection_id,action_type,action_description,owner,due_date,completion_date,status,expected_impact,priority
ACT0001,RSK0103,COL017,Confirm contingency plan,Update product content for marketing delay risk before launch gate,Sourcing Lead,2027-04-01,2027-03-27,Completed,Protect launch scope,High
ACT0002,RSK0180,COL008,Confirm contingency plan,Reallocate stock for logistics delay risk before launch gate,Production Planner,2026-07-24,2026-07-16,Completed,Lower rework risk,Low
ACT0003,RSK0093,COL005,Confirm contingency plan,Add warehouse slot for quality failure risk before launch gate,E-commerce Producer,2026-06-26,2026-06-21,Completed,Lower rework risk,High
ACT0004,RSK0015,COL027,Validate compliance documents,Validate compliance documents for customs issue risk before launch gate,Production Planner,2027-02-24,,In Progress,Contain cost exposure,High
ACT0005,RSK0107,COL029,Reallocate stock,Confirm contingency plan for logistics delay risk before launch gate,Retail Operations,2026-07-14,2026-07-16,Completed,Lower rework risk,Critical
ACT0006,RSK0072,COL013,Add warehouse slot,Validate compliance documents for marketing delay risk before launch gate,Logistics Lead,2027-01-11,2027-01-04,Completed,Reduce launch delay,Medium
ACT0007,RSK0189,COL002,Switch supplier,Escalate quality review for quality failure risk before launch gate,Quality Manager,2026-09-18,,In Progress,Protect launch scope,Medium
ACT0008,RSK0021,COL014,Validate compliance documents,Update product content for compliance issue risk before launch gate,Quality Manager,2026-10-20,,Not Started,Lower rework risk,Low
ACT0009,RSK0103,COL017,Approve partial launch,Update product content for marketing delay risk before launch gate,Sourcing Lead,2027-03-24,,In Progress,Contain cost exposure,High
ACT0010,RSK0122,COL025,Validate compliance documents,Validate compliance documents for packaging delay risk before launch gate,Merchandising,2027-01-26,,In Progress,Contain cost exposure,Medium
ACT0011,RSK0075,COL016,Approve partial launch,Update product content for production backlog risk before launch gate,Sourcing Lead,2026-09-11,,Overdue,Contain cost exposure,High
ACT0012,RSK0088,COL012,Validate compliance documents,Validate compliance documents for ecommerce readiness risk before launch gate,PMO,2026-10-08,,In Progress,Reduce launch delay,Critical
ACT0013,RSK0117,COL003,Update product content,Approve partial launch for compliance issue risk before launch gate,Quality Manager,2026-11-14,,Overdue,Protect launch scope,Medium
ACT0014,RSK0100,COL005,Update product content,Reallocate stock for stock allocation risk before launch gate,Production Planner,2026-05-13,2026-05-07,Completed,Reduce launch delay,Low
ACT0015,RSK0104,COL030,Expedite shipment,Expedite shipment for stock allocation risk before launch gate,Merchandising,2026-12-15,,Not Started,Protect launch scope,Critical
ACT0016,RSK0152,COL029,Switch supplier,Reallocate stock for ecommerce readiness risk before launch gate,Marketing Manager,2026-06-11,2026-06-09,Completed,Contain cost exposure,Medium
ACT0017,RSK0131,COL012,Update product content,Validate compliance documents for stock allocation risk before launch gate,Compliance Lead,2026-10-21,,Overdue,Protect launch scope,Critical
ACT0018,RSK0150,COL019,Update product content,Expedite shipment for compliance issue risk before launch gate,Merchandising,2027-01-30,2027-01-24,Completed,Contain cost exposure,Medium
ACT0019,RSK0053,COL026,Reallocate stock,Approve partial launch for supplier capacity risk before launch gate,Quality Manager,2026-06-22,,Not Started,Reduce launch delay,High
