supplier_id,supplier_name,country,supplier_city,supplier_lat,supplier_lon,region,supplier_specialty,lead_time_planned_days,reliability_score_base,capacity_band,sustainability_rating,historical_delay_risk,escalation_level,data_source
SUP001,Inditex Portugal Cluster Partner 01,Portugal,Braga,41.592,-8.2879,Western Europe,formal tailoring,47,78,Medium,C,0.51,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP002,Inditex Portugal Cluster Partner 02,Portugal,Braga,41.4896,-8.3473,Western Europe,woven apparel,40,79,High,C,0.43,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP003,Inditex Italy Cluster Partner 03,Italy,Milan,45.5227,9.0642,Western Europe,kidswear,71,89,Strategic,C,0.33,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP004,Inditex Portugal Cluster Partner 04,Portugal,Porto,41.1605,-8.7264,Western Europe,formal tailoring,31,75,High,A,0.44,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP005,Inditex Spain Cluster Partner 05,Spain,Barcelona,41.3932,2.2017,Western Europe,kidswear,59,59,High,D,0.8,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP006,Inditex Bangladesh Cluster Partner 06,Bangladesh,Dhaka,23.8398,90.4802,South Asia,activewear,74,66,High,B,0.73,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP007,Inditex India Cluster Partner 07,India,Tiruppur,11.0967,77.3289,South Asia,formal tailoring,85,84,Strategic,B,0.29,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP008,Inditex Portugal Cluster Partner 08,Portugal,Porto,41.1741,-8.5615,Western Europe,formal tailoring,36,74,Strategic,C,0.47,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP009,Inditex Morocco Cluster Partner 09,Morocco,Tangier,35.5992,-5.7057,Nearshore EMEA,denim,29,98,Low,B,0.07,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP010,Inditex China Cluster Partner 10,China,Guangzhou,23.0656,113.2996,East Asia,footwear,83,69,High,A,0.52,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP011,Inditex Spain Cluster Partner 11,Spain,Valencia,39.5261,-0.3652,Western Europe,kidswear,33,77,Strategic,A,0.48,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP012,Inditex Bangladesh Cluster Partner 12,Bangladesh,Dhaka,23.7788,90.4542,South Asia,denim,82,83,Low,A,0.39,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP013,Inditex Spain Cluster Partner 13,Spain,Valencia,39.4156,-0.3163,Western Europe,formal tailoring,86,67,High,C,0.52,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP014,Inditex Italy Cluster Partner 14,Italy,Milan,45.4716,9.123,Western Europe,leather goods,37,81,High,A,0.45,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP015,Inditex Spain Cluster Partner 15,Spain,Valencia,39.5013,-0.4595,Western Europe,woven apparel,30,98,Strategic,C,0.05,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP016,Inditex Morocco Cluster Partner 16,Morocco,Tangier,35.7072,-5.7998,Nearshore EMEA,knitwear,66,76,High,A,0.42,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
